Final training run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
================================================================================
Run: final_attention_lstm_l2_h128_d0p3_lr0p001_k20
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_attention_lstm_l2_h128_d0p3_lr0p001_k20.pt', model_name='attention_lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=2, dropout=0.3, window_size_k=20, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_attention_lstm_l2_h128_d0p3_lr0p001_k20_generation')
  Batch 100/12186 | Avg Train Loss: 7.8799
  Batch 200/12186 | Avg Train Loss: 7.7135
  Batch 300/12186 | Avg Train Loss: 7.4436
  Batch 400/12186 | Avg Train Loss: 7.2176
  Batch 500/12186 | Avg Train Loss: 7.0386
  Batch 600/12186 | Avg Train Loss: 6.8950
  Batch 700/12186 | Avg Train Loss: 6.7777
  Batch 800/12186 | Avg Train Loss: 6.6798
  Batch 900/12186 | Avg Train Loss: 6.5961
  Batch 1000/12186 | Avg Train Loss: 6.5238
  Batch 1100/12186 | Avg Train Loss: 6.4607
  Batch 1200/12186 | Avg Train Loss: 6.4046
  Batch 1300/12186 | Avg Train Loss: 6.3545
  Batch 1400/12186 | Avg Train Loss: 6.3094
  Batch 1500/12186 | Avg Train Loss: 6.2690
  Batch 1600/12186 | Avg Train Loss: 6.2321
  Batch 1700/12186 | Avg Train Loss: 6.1985
  Batch 1800/12186 | Avg Train Loss: 6.1675
  Batch 1900/12186 | Avg Train Loss: 6.1387
  Batch 2000/12186 | Avg Train Loss: 6.1121
  Batch 2100/12186 | Avg Train Loss: 6.0875
  Batch 2200/12186 | Avg Train Loss: 6.0644
  Batch 2300/12186 | Avg Train Loss: 6.0426
  Batch 2400/12186 | Avg Train Loss: 6.0221
  Batch 2500/12186 | Avg Train Loss: 6.0029
  Batch 2600/12186 | Avg Train Loss: 5.9849
  Batch 2700/12186 | Avg Train Loss: 5.9678
  Batch 2800/12186 | Avg Train Loss: 5.9515
  Batch 2900/12186 | Avg Train Loss: 5.9361
  Batch 3000/12186 | Avg Train Loss: 5.9215
  Batch 3100/12186 | Avg Train Loss: 5.9075
  Batch 3200/12186 | Avg Train Loss: 5.8940
  Batch 3300/12186 | Avg Train Loss: 5.8815
  Batch 3400/12186 | Avg Train Loss: 5.8692
  Batch 3500/12186 | Avg Train Loss: 5.8576
  Batch 3600/12186 | Avg Train Loss: 5.8464
  Batch 3700/12186 | Avg Train Loss: 5.8356
  Batch 3800/12186 | Avg Train Loss: 5.8253
  Batch 3900/12186 | Avg Train Loss: 5.8155
  Batch 4000/12186 | Avg Train Loss: 5.8061
  Batch 4100/12186 | Avg Train Loss: 5.7968
  Batch 4200/12186 | Avg Train Loss: 5.7879
  Batch 4300/12186 | Avg Train Loss: 5.7793
  Batch 4400/12186 | Avg Train Loss: 5.7711
  Batch 4500/12186 | Avg Train Loss: 5.7631
  Batch 4600/12186 | Avg Train Loss: 5.7554
  Batch 4700/12186 | Avg Train Loss: 5.7480
  Batch 4800/12186 | Avg Train Loss: 5.7408
  Batch 4900/12186 | Avg Train Loss: 5.7339
  Batch 5000/12186 | Avg Train Loss: 5.7272
  Batch 5100/12186 | Avg Train Loss: 5.7208
  Batch 5200/12186 | Avg Train Loss: 5.7145
  Batch 5300/12186 | Avg Train Loss: 5.7083
  Batch 5400/12186 | Avg Train Loss: 5.7023
  Batch 5500/12186 | Avg Train Loss: 5.6965
  Batch 5600/12186 | Avg Train Loss: 5.6908
  Batch 5700/12186 | Avg Train Loss: 5.6852
  Batch 5800/12186 | Avg Train Loss: 5.6799
  Batch 5900/12186 | Avg Train Loss: 5.6746
  Batch 6000/12186 | Avg Train Loss: 5.6695
  Batch 6100/12186 | Avg Train Loss: 5.6646
  Batch 6200/12186 | Avg Train Loss: 5.6597
  Batch 6300/12186 | Avg Train Loss: 5.6549
  Batch 6400/12186 | Avg Train Loss: 5.6503
  Batch 6500/12186 | Avg Train Loss: 5.6458
  Batch 6600/12186 | Avg Train Loss: 5.6413
  Batch 6700/12186 | Avg Train Loss: 5.6370
  Batch 6800/12186 | Avg Train Loss: 5.6328
  Batch 6900/12186 | Avg Train Loss: 5.6286
  Batch 7000/12186 | Avg Train Loss: 5.6245
  Batch 7100/12186 | Avg Train Loss: 5.6205
