Final training run: final_lstm_l2_h256_d0p3_lr0p001
================================================================================
Run: final_lstm_l2_h256_d0p3_lr0p001
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_lstm_l2_h256_d0p3_lr0p001.pt', model_name='lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=256, num_layers=2, dropout=0.3, window_size_k=5, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_lstm_l2_h256_d0p3_lr0p001_generation')
  Batch 100/12186 | Avg Train Loss: 7.8832
  Batch 200/12186 | Avg Train Loss: 7.7346
  Batch 300/12186 | Avg Train Loss: 7.4258
  Batch 400/12186 | Avg Train Loss: 7.1522
  Batch 500/12186 | Avg Train Loss: 6.9356
  Batch 600/12186 | Avg Train Loss: 6.7639
  Batch 700/12186 | Avg Train Loss: 6.6234
  Batch 800/12186 | Avg Train Loss: 6.5056
  Batch 900/12186 | Avg Train Loss: 6.4065
  Batch 1000/12186 | Avg Train Loss: 6.3213
  Batch 1100/12186 | Avg Train Loss: 6.2466
  Batch 1200/12186 | Avg Train Loss: 6.1812
  Batch 1300/12186 | Avg Train Loss: 6.1231
  Batch 1400/12186 | Avg Train Loss: 6.0711
  Batch 1500/12186 | Avg Train Loss: 6.0243
  Batch 1600/12186 | Avg Train Loss: 5.9817
  Batch 1700/12186 | Avg Train Loss: 5.9424
  Batch 1800/12186 | Avg Train Loss: 5.9066
  Batch 1900/12186 | Avg Train Loss: 5.8737
  Batch 2000/12186 | Avg Train Loss: 5.8433
  Batch 2100/12186 | Avg Train Loss: 5.8152
  Batch 2200/12186 | Avg Train Loss: 5.7889
  Batch 2300/12186 | Avg Train Loss: 5.7648
  Batch 2400/12186 | Avg Train Loss: 5.7421
  Batch 2500/12186 | Avg Train Loss: 5.7207
  Batch 2600/12186 | Avg Train Loss: 5.7003
  Batch 2700/12186 | Avg Train Loss: 5.6811
