Final training run: final_rnn_h128_lr0p0005
================================================================================
Run: final_rnn_h128_lr0p0005
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_rnn_h128_lr0p0005.pt', model_name='rnn', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=1, dropout=0.0, window_size_k=5, learning_rate=0.0005, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_rnn_h128_lr0p0005_generation')
  Batch 100/12186 | Avg Train Loss: 8.0385
  Batch 200/12186 | Avg Train Loss: 7.8868
  Batch 300/12186 | Avg Train Loss: 7.8121
  Batch 400/12186 | Avg Train Loss: 7.7392
  Batch 500/12186 | Avg Train Loss: 7.6472
  Batch 600/12186 | Avg Train Loss: 7.5427
  Batch 700/12186 | Avg Train Loss: 7.4370
  Batch 800/12186 | Avg Train Loss: 7.3344
  Batch 900/12186 | Avg Train Loss: 7.2373
  Batch 1000/12186 | Avg Train Loss: 7.1462
  Batch 1100/12186 | Avg Train Loss: 7.0606
  Batch 1200/12186 | Avg Train Loss: 6.9807
  Batch 1300/12186 | Avg Train Loss: 6.9066
  Batch 1400/12186 | Avg Train Loss: 6.8374
  Batch 1500/12186 | Avg Train Loss: 6.7733
  Batch 1600/12186 | Avg Train Loss: 6.7129
  Batch 1700/12186 | Avg Train Loss: 6.6563
  Batch 1800/12186 | Avg Train Loss: 6.6031
  Batch 1900/12186 | Avg Train Loss: 6.5534
  Batch 2000/12186 | Avg Train Loss: 6.5065
  Batch 2100/12186 | Avg Train Loss: 6.4625
  Batch 2200/12186 | Avg Train Loss: 6.4204
  Batch 2300/12186 | Avg Train Loss: 6.3810
  Batch 2400/12186 | Avg Train Loss: 6.3436
  Batch 2500/12186 | Avg Train Loss: 6.3081
  Batch 2600/12186 | Avg Train Loss: 6.2742
  Batch 2700/12186 | Avg Train Loss: 6.2421
  Batch 2800/12186 | Avg Train Loss: 6.2113
  Batch 2900/12186 | Avg Train Loss: 6.1819
  Batch 3000/12186 | Avg Train Loss: 6.1536
  Batch 3100/12186 | Avg Train Loss: 6.1265
  Batch 3200/12186 | Avg Train Loss: 6.1006
  Batch 3300/12186 | Avg Train Loss: 6.0757
  Batch 3400/12186 | Avg Train Loss: 6.0518
  Batch 3500/12186 | Avg Train Loss: 6.0287
  Batch 3600/12186 | Avg Train Loss: 6.0063
  Batch 3700/12186 | Avg Train Loss: 5.9848
  Batch 3800/12186 | Avg Train Loss: 5.9641
  Batch 3900/12186 | Avg Train Loss: 5.9440
  Batch 4000/12186 | Avg Train Loss: 5.9246
  Batch 4100/12186 | Avg Train Loss: 5.9057
  Batch 4200/12186 | Avg Train Loss: 5.8875
  Batch 4300/12186 | Avg Train Loss: 5.8699
  Batch 4400/12186 | Avg Train Loss: 5.8527
  Batch 4500/12186 | Avg Train Loss: 5.8361
  Batch 4600/12186 | Avg Train Loss: 5.8199
  Batch 4700/12186 | Avg Train Loss: 5.8042
  Batch 4800/12186 | Avg Train Loss: 5.7889
  Batch 4900/12186 | Avg Train Loss: 5.7740
  Batch 5000/12186 | Avg Train Loss: 5.7595
  Batch 5100/12186 | Avg Train Loss: 5.7452
  Batch 5200/12186 | Avg Train Loss: 5.7315
  Batch 5300/12186 | Avg Train Loss: 5.7181
  Batch 5400/12186 | Avg Train Loss: 5.7048
  Batch 5500/12186 | Avg Train Loss: 5.6921
  Batch 5600/12186 | Avg Train Loss: 5.6795
  Batch 5700/12186 | Avg Train Loss: 5.6674
  Batch 5800/12186 | Avg Train Loss: 5.6555
