run_name,model_name,num_layers,hidden_dim,dropout,learning_rate,batch_size,seq_length,window_size_k,best_epoch,last_train_loss,best_val_loss,last_val_ppl,test_loss,test_ppl,total_time_seconds,checkpoint_name
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H128_LR0p001_D0p0_L1,rnn,1,128,0.0,0.001,64,100,,1,4.845720413262163,5.794744576803009,328.5682493103079,5.760324587812796,317.4513530371108,970.9124181270599,rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H128_LR0p001_D0p0_L1.pt
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H128_LR0p0005_D0p0_L1,rnn,1,128,0.0,0.0005,64,100,,1,5.193827685123395,5.585092998788114,266.42505879496696,5.554930825022685,258.50908154220235,937.9693689346313,rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H128_LR0p0005_D0p0_L1.pt
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H256_LR0p001_D0p0_L1,rnn,1,256,0.0,0.001,64,100,,1,4.169899397621831,6.655769703099546,777.2559492191588,6.613265779520899,744.9117682754331,1323.4337801933289,rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H256_LR0p001_D0p0_L1.pt
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H256_LR0p0005_D0p0_L1,rnn,1,256,0.0,0.0005,64,100,,1,4.6588543832703175,5.9481913247679685,383.05988121060466,5.909170500824346,368.40044076993644,1291.3916690349579,rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H256_LR0p0005_D0p0_L1.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p2_LR0p001,lstm,1,128,0.2,0.001,64,100,,1,4.858464297727081,5.509891939804693,247.12442131150314,5.473201421802431,238.2216211759161,905.3673527240753,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p2_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p2_LR0p0005,lstm,1,128,0.2,0.0005,64,100,,1,5.135425665060445,5.407265758453311,223.020960084454,5.38223358547741,217.50755498254617,906.425683259964,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p2_LR0p0005.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p3_LR0p001,lstm,1,128,0.3,0.001,64,100,,1,5.0411386896819295,5.360014474979965,212.72802566117042,5.327816485136767,205.98770553441318,902.843355178833,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p3_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p3_LR0p0005,lstm,1,128,0.3,0.0005,64,100,,1,5.30138798490174,5.325895144800434,205.59231301041802,5.304395935613326,201.2194162112054,902.3351120948792,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p3_LR0p0005.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p2_LR0p001,lstm,1,256,0.2,0.001,64,100,,1,4.102382744471858,6.448522684743662,631.7682821463353,6.418068482278632,612.8183008419246,1344.2527759075165,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p2_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p2_LR0p0005,lstm,1,256,0.2,0.0005,64,100,,1,4.506786873652472,5.955485496362153,385.86420087579694,5.9161398296246235,370.9769122817931,1339.4967563152313,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p2_LR0p0005.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p3_LR0p001,lstm,1,256,0.3,0.001,64,100,,1,4.381573891553623,5.9793016041493585,395.1642906599383,5.949096580410065,383.4068053331493,1338.5964620113373,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p3_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p3_LR0p0005,lstm,1,256,0.3,0.0005,64,100,,1,4.735847976707422,5.644446047355852,282.7169010621282,5.61217033519415,273.73769632636856,1367.9089558124542,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H256_D0p3_LR0p0005.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001,lstm,2,128,0.2,0.001,64,100,,1,5.452898590705204,5.56345237668396,260.72139281028177,5.551207024649425,257.54823543771823,1170.2884442806244,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005,lstm,2,128,0.2,0.0005,64,100,,1,5.605866847084442,5.600450069456815,270.54814548568754,5.586247601774852,266.7328516186569,1152.4376499652863,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001,lstm,2,128,0.3,0.001,64,100,,1,5.650033922436475,5.580630137781391,265.238690057334,5.564680195099111,261.04170794176594,1117.9803392887115,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005,lstm,2,128,0.3,0.0005,64,100,,1,5.8025140869153775,5.630361772973441,278.7629482937258,5.6167876639479175,275.00455576510615,1260.4826312065125,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001,lstm,2,256,0.2,0.001,64,100,,1,4.919715485509425,5.64118129637362,281.7954058264173,5.606758280490775,272.26021465162404,2037.8204939365387,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005,lstm,2,256,0.2,0.0005,64,100,,1,5.059234222480665,5.648366530685376,283.82746350803217,5.618505449496653,275.47736058922084,1719.1599569320679,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001,lstm,2,256,0.3,0.001,64,100,,1,5.158737609250664,5.4942711387820005,243.2941338626005,5.460686248361415,235.25881495816333,2028.484083890915,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001.pt
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005,lstm,2,256,0.3,0.0005,64,100,,1,5.29983550152637,5.512036294222336,247.65491223304778,5.480503729869738,239.9675557598333,1827.7909531593323,lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K5,attention_lstm,2,128,0.2,0.001,64,100,5,1,5.2481276927549185,5.616353513643117,274.88518836697017,5.589584496905603,267.6243978432917,1865.0563850402832,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K5,attention_lstm,2,128,0.2,0.0005,64,100,5,1,5.3830341957442265,5.632651048925426,279.40184463354564,5.604846107585548,271.7401034757232,1726.247098684311,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001_K5,attention_lstm,2,128,0.3,0.001,64,100,5,1,5.4681315015106975,5.570907974609727,262.67249094954747,5.552530737735766,257.8893811470375,1648.2322270870209,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K5,attention_lstm,2,128,0.3,0.0005,64,100,5,1,5.6036501711819255,5.607743011843616,272.52844986926164,5.588719736376609,267.3930668648066,1958.2226219177246,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K5,attention_lstm,2,256,0.2,0.001,64,100,5,1,4.601550560758244,5.872950480581475,355.295728450789,5.838336531280478,343.2079498624751,2886.3049836158752,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p001_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K5,attention_lstm,2,256,0.2,0.0005,64,100,5,1,4.723483509722356,5.877862782145371,357.04534200973126,5.842018157988309,344.4738422587917,2902.0821781158447,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p2_LR0p0005_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K5,attention_lstm,2,256,0.3,0.001,64,100,5,1,4.9206994477504775,5.6177841540256575,275.27873166035107,5.587996691789939,267.19979963412925,2891.122519016266,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K5,attention_lstm,2,256,0.3,0.0005,64,100,5,1,5.037380211540734,5.636313706311868,280.42707424986577,5.611639424824394,273.5924047166197,2584.6591460704803,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K5.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K10,attention_lstm,2,128,0.2,0.001,64,100,10,1,5.2631071216070495,5.614391955559563,274.3465135973263,5.589871148739313,267.70112386398085,18351.13326406479,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K10.pt
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K10,attention_lstm,2,128,0.2,0.0005,64,100,10,1,5.399746043917269,5.642915515545314,282.2845248188777,5.619015115411674,275.61779779526165,1626.8838121891022,attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005_K10.pt
