Grid Search Summary
================================================================================

Sorted by best validation loss
--------------------------------------------------------------------------------
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p3_LR0p0005 | model=lstm | val=5.3259 | test=5.3044 | ppl=201.22 | bleu=3.634281326113841e-10 | bigram=0.0 | trigram=0.0 | spell=0.8979731425985765
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p3_LR0p001 | model=lstm | val=5.3600 | test=5.3278 | ppl=205.99 | bleu=3.8106165804524294e-10 | bigram=0.0 | trigram=0.0 | spell=0.9076775735244411
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p2_LR0p0005 | model=lstm | val=5.4073 | test=5.3822 | ppl=217.51 | bleu=3.8617987230929987e-10 | bigram=0.0 | trigram=0.0 | spell=0.8816586721728816
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001 | model=lstm | val=5.4943 | test=5.4607 | ppl=235.26 | bleu=3.3178309577746747e-10 | bigram=0.0 | trigram=0.0 | spell=0.8622168795357574
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L1_H128_D0p2_LR0p001 | model=lstm | val=5.5099 | test=5.4732 | ppl=238.22 | bleu=6.538613282964684e-08 | bigram=0.0008620689655172414 | trigram=0.0 | spell=0.905703170902622
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005 | model=lstm | val=5.5120 | test=5.4805 | ppl=239.97 | bleu=3.626302594820434e-10 | bigram=0.0 | trigram=0.0 | spell=0.8962144035662319
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001 | model=lstm | val=5.5635 | test=5.5512 | ppl=257.55 | bleu=3.714014633682774e-10 | bigram=0.0 | trigram=0.0 | spell=0.8664860071758123
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001_K20 | model=attention_lstm | val=5.5659 | test=5.5446 | ppl=255.85 | bleu=3.539740896798865e-10 | bigram=0.0 | trigram=0.0 | spell=0.868404424572414
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001_K5 | model=attention_lstm | val=5.5709 | test=5.5525 | ppl=257.89 | bleu=6.396035841428e-08 | bigram=0.0009259259259259259 | trigram=0.0 | spell=0.8832848467827302
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K20 | model=attention_lstm | val=5.5710 | test=5.5394 | ppl=254.52 | bleu=6.411410088898807e-08 | bigram=0.0009615384615384616 | trigram=0.0 | spell=0.8922324122874613
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001_K10 | model=attention_lstm | val=5.5790 | test=5.5537 | ppl=258.20 | bleu=3.516591171278567e-10 | bigram=0.0 | trigram=0.0 | spell=0.8666917794918956
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p001 | model=lstm | val=5.5806 | test=5.5647 | ppl=261.04 | bleu=3.4839911900812883e-10 | bigram=0.0 | trigram=0.0 | spell=0.8909870706040961
rnn_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_H128_LR0p0005_D0p0_L1 | model=rnn | val=5.5851 | test=5.5549 | ppl=258.51 | bleu=3.7892392721704627e-10 | bigram=0.0 | trigram=0.0 | spell=0.8848107102393893
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p0005_K20 | model=attention_lstm | val=5.5950 | test=5.5649 | ppl=261.10 | bleu=3.5178890126790466e-10 | bigram=0.0 | trigram=0.0 | spell=0.8998277015134727
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K20 | model=attention_lstm | val=5.5973 | test=5.5715 | ppl=262.84 | bleu=3.838429155491479e-10 | bigram=0.0 | trigram=0.0 | spell=0.859965251400687
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H256_D0p3_LR0p001_K10 | model=attention_lstm | val=5.5979 | test=5.5733 | ppl=263.31 | bleu=3.486039808002383e-10 | bigram=0.0 | trigram=0.0 | spell=0.8943733511744881
lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p0005 | model=lstm | val=5.6005 | test=5.5862 | ppl=266.73 | bleu=3.5000574132017763e-10 | bigram=0.0 | trigram=0.0 | spell=0.8270046052610036
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K10 | model=attention_lstm | val=5.6054 | test=5.5854 | ppl=266.51 | bleu=3.4934236504228826e-10 | bigram=0.0 | trigram=0.0 | spell=0.8687539869824576
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K20 | model=attention_lstm | val=5.6061 | test=5.5827 | ppl=265.80 | bleu=6.400894512757355e-08 | bigram=0.0009615384615384616 | trigram=0.0 | spell=0.864630892855493
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p3_LR0p0005_K5 | model=attention_lstm | val=5.6077 | test=5.5887 | ppl=267.39 | bleu=3.7709603319414203e-10 | bigram=0.0 | trigram=0.0 | spell=0.8766441512275598
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K10 | model=attention_lstm | val=5.6144 | test=5.5899 | ppl=267.70 | bleu=4.022419016063881e-10 | bigram=0.0 | trigram=0.0 | spell=0.8546048228287001
attention_lstm_num_epochs1_S100_B64_E128_vocab_size5000_generation_num_samples20_generation_prompt_length30_generation_temperature0p8_generation_top_p0p9_L2_H128_D0p2_LR0p001_K5 | model=attention_lstm | val=5.6164 | test=5.5896 | ppl=267.62 | bleu=6.966173525561258e-08 | bigram=0.0009433962264150943 | trigram=0.0 | spell=0.8691290895581757
