run_name,model_name,num_layers,hidden_dim,dropout,learning_rate,seq_length,window_size_k,last_train_loss,best_val_loss,test_loss,test_ppl
rnn_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p0_LR0p0005,rnn,1,128,0.0,0.0005,100,,5.022859208812502,5.313664378886728,5.2529616799507215,191.13150136152183
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p0005,lstm,1,128,0.2,0.0005,100,,5.0041778185097,5.064756791768353,5.012622611715744,150.2983940465892
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p0005,lstm,1,128,0.3,0.0005,100,,5.148318334235277,5.037345222044602,4.983843523769055,146.03459179813726
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p0005,lstm,2,128,0.2,0.0005,100,,5.110682117424259,4.937708022893284,4.879878017817064,131.61460826937758
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p0005,lstm,2,128,0.3,0.0005,100,,5.32776359467275,4.959943076460501,4.9038203605824275,134.8037963051047
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p0005,lstm,3,128,0.2,0.0005,100,,5.202508180593323,4.898276601274392,4.837215701065494,126.11771300967028
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p0005,lstm,3,128,0.3,0.0005,100,,5.448752771318528,4.973793375616995,4.9177125512318876,136.68958488230314
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p0005_K20,attention_lstm,1,128,0.2,0.0005,100,20,4.779826133657513,5.137959726660761,5.092000614317124,162.71506673256948
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p0005_K40,attention_lstm,1,128,0.2,0.0005,100,40,4.797763869604811,5.112308284086361,5.063711027102282,158.17642549049017
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p0005_K20,attention_lstm,1,128,0.3,0.0005,100,20,4.911800588366181,5.06377118277744,5.013589293000388,150.4437549387334
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p0005_K40,attention_lstm,1,128,0.3,0.0005,100,40,4.925063323304997,5.046591465955193,4.996299655558699,147.86499411938095
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p0005_K20,attention_lstm,2,128,0.2,0.0005,100,20,4.947384413868405,4.9372108826398575,4.87963416832315,131.5825180265132
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p0005_K40,attention_lstm,2,128,0.2,0.0005,100,40,4.956247007728398,4.9127425988330184,4.855897518829662,128.49596702581755
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p0005_K20,attention_lstm,2,128,0.3,0.0005,100,20,5.165421853595714,4.907639864021186,4.848508104855956,127.54995666720802
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p0005_K40,attention_lstm,2,128,0.3,0.0005,100,40,5.172225837471561,4.895194004800461,4.836240371607118,125.99476665529573
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p0005_K20,attention_lstm,3,128,0.2,0.0005,100,20,5.060684545877375,4.889693925350176,4.832146565927624,125.48002291329585
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p0005_K40,attention_lstm,3,128,0.2,0.0005,100,40,5.067447481375867,4.87632879898166,4.815453102269864,123.40271369438243
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p0005_K20,attention_lstm,3,128,0.3,0.0005,100,20,5.304277599495606,4.930660403232774,4.868067221093762,130.06927863613623
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p0005_K40,attention_lstm,3,128,0.3,0.0005,100,40,5.310515563361372,4.928330730642512,4.867019285949161,129.9330458618438
rnn_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p0_LR0p001,rnn,1,128,0.0,0.001,100,,4.7860792489920945,5.383819501993034,5.3310221734917995,206.64909746513402
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p001,lstm,1,128,0.2,0.001,100,,4.80318601631599,5.086866067322734,5.035830295961455,153.8272617571188
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p001,lstm,1,128,0.3,0.001,100,,4.953523403595184,5.028118300585956,4.973187146572968,144.48665445477286
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p001,lstm,2,128,0.2,0.001,100,,4.9183426806842,4.890265949992742,4.8323845449365015,125.50988807828296
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p001,lstm,2,128,0.3,0.001,100,,5.141016675490298,4.888518978007135,4.8296196493949815,125.16334564589795
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p001,lstm,3,128,0.2,0.001,100,,4.997194111757166,4.833792437589302,4.776570531428422,118.6965850279042
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p001,lstm,3,128,0.3,0.001,100,,5.24322720789299,4.8966250732327135,4.837656757387064,126.17335029294098
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p001_K20,attention_lstm,1,128,0.2,0.001,100,20,4.567526839118355,5.207596943875269,5.169906842506538,175.8984504620414
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p2_LR0p001_K40,attention_lstm,1,128,0.2,0.001,100,40,4.585729740187099,5.176548374730762,5.130100876777634,169.0341688071191
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p001_K20,attention_lstm,1,128,0.3,0.001,100,20,4.7037568498213504,5.1069430237275295,5.063907460753303,158.20749971516648
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L1_D0p3_LR0p001_K40,attention_lstm,1,128,0.3,0.001,100,40,4.715944630820923,5.086297477591533,5.043619925288831,155.03019823862488
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p001_K20,attention_lstm,2,128,0.2,0.001,100,20,4.762340519712497,4.908077843206818,4.854947839259204,128.37399495740476
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p2_LR0p001_K40,attention_lstm,2,128,0.2,0.001,100,40,4.77073786898246,4.885571471563272,4.829592121882178,125.15990025771985
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p001_K20,attention_lstm,2,128,0.3,0.001,100,20,4.979475637497135,4.852061301041908,4.7959466363975105,121.01888846101225
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L2_D0p3_LR0p001_K40,attention_lstm,2,128,0.3,0.001,100,40,4.98423452743101,4.838982013292354,4.782373397094382,119.38736768690967
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p001_K20,attention_lstm,3,128,0.2,0.001,100,20,4.860008151534863,4.845755341166806,4.7928850306853965,120.64894294345267
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p2_LR0p001_K40,attention_lstm,3,128,0.2,0.001,100,40,4.868245268874738,4.8329562703259565,4.772767232277075,118.24600379754649
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p001_K20,attention_lstm,3,128,0.3,0.001,100,20,5.103478320281743,4.866649155659318,4.810658781407243,122.8124974631436
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H128_L3_D0p3_LR0p001_K40,attention_lstm,3,128,0.3,0.001,100,40,5.109925113495954,4.8630068902133,4.801665753743518,121.71299262487284
rnn_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p0_LR0p0005,rnn,1,256,0.0,0.0005,100,,4.586090418494837,5.485409586014191,5.434476915276881,229.17294005350865
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p0005,lstm,1,256,0.2,0.0005,100,,4.51817177784411,5.269054651491671,5.215679859351753,184.13696567254735
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p0005,lstm,1,256,0.3,0.0005,100,,4.692787178837255,5.09402030165176,5.042456629855485,154.84995717411277
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p0005,lstm,2,256,0.2,0.0005,100,,4.557860586221408,5.017206482337712,4.962484640814715,142.94853077408237
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p3_LR0p0005,lstm,2,256,0.3,0.0005,100,,4.814380349323045,4.842794793957557,4.786626070008215,119.89616421752969
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p2_LR0p0005,lstm,3,256,0.2,0.0005,100,,4.616218800336567,4.8568161610350575,4.799932608451772,121.50222901949334
lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L3_D0p3_LR0p0005,lstm,3,256,0.3,0.0005,100,,4.892702782728037,4.759186879997342,4.701147529275179,110.07341246944026
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p0005_K20,attention_lstm,1,256,0.2,0.0005,100,20,4.1874255953989366,5.664851579270161,5.621606750631961,276.33302499103837
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p2_LR0p0005_K40,attention_lstm,1,256,0.2,0.0005,100,40,4.226574501043337,5.593060479198355,5.542988430712856,255.44022537642817
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p0005_K20,attention_lstm,1,256,0.3,0.0005,100,20,4.377896542409289,5.40547404901714,5.357377901005431,212.16789122747537
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L1_D0p3_LR0p0005_K40,attention_lstm,1,256,0.3,0.0005,100,40,4.404577534140454,5.354984825324494,5.308968019754873,202.141514662598
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p0005_K20,attention_lstm,2,256,0.2,0.0005,100,20,4.3402076791068005,5.213253149215594,5.159494632785603,174.0764608360431
attention_lstm_num_epochs1_B64_E128_vocab_size5000_S100_H256_L2_D0p2_LR0p0005_K40,attention_lstm,2,256,0.2,0.0005,100,40,4.366301128802338,5.143787649096932,5.090344817310628,162.44586654409974
